estado;sigla;regiao;homic_abs;homic_tx;feminico_abs;feminic_tx;part_feminic;rendapc
Acre;AC;N;22;5.3;11;2.6;50.0;1038
Alagoas;AL;NE;73;4.5;31;1.9;42.5;935
Amapa;AP;N;22;6.0;8;2.2;36.4;1177
Amazonas;AM;N;88;4.5;21;1.1;23.9;965
Bahia;BA;NE;406;5.6;107;1.5;26.4;1010
Ceara;CE;NE;264;5.8;28;0.6;10.6;1050
Distrito Federal ;DF;CO;32;2.2;19;1.3;59.4;2913
Espirito Santo;ES;SD;95;4.9;33;1.7;34.7;1723
Goias;GO;CO;137;3.8;56;1.6;40.9;1619
Maranhao;MA;NE;127;3.7;69;2.0;54.3;814
Mato Grosso;MT;CO;101;5.6;47;2.6;46.5;1674
Mato Grosso do Sul;MS;CO;75;5.4;40;2.9;53.3;1839
Minas Gerais;MG;SD;309;3.0;171;1.6;55.3;1529
Para;PA;N;200;4.9;49;1.2;24.5;1061
Paraiba;PB;NE;86;4.2;26;1.3;30.2;1096
Parana;PR;S;256;4.4;77;1.3;30.1;1846
Pernambuco;PE;NE;219;4.6;72;1.5;32.9;1010
Piaui;PI;NE;70;4.1;24;1.4;34.3;1110
Rio de Janeiro;RJ;SD;283;3.4;111;1.3;39.2;1971
Rio Grande do Norte;RN;NE;60;3.5;16;0.9;26.7;1267
Rio Grande do Sul;RS;S;281;5.0;110;2.0;39.1;2087
Rondonia;RO;N;88;11.2;24;3.1;27.3;1365
Roraima;RR;N;33;10.8;3;1.0;9.1;1242
Santa Catarina;SC;S;101;2.6;56;1.5;55.4;2018
Sao Paulo;SP;SD;423;1.9;195;0.9;46.1;2148
Sergipe;SE;NE;37;3.2;19;1.7;51.4;1187
Tocantins;TO;N;36;4.8;14;1.9;38.9;1379
